categoryId,branchId,renewals,price,issues
0,0,20340,22360.87,114544
0,1,80679,101715.46,166679
0,2,8419,19153.92,25691
0,3,1752,7468.84,5453
0,4,19707,31030.81,45277
0,5,386,892.2,1319
0,6,51,46.46,28
0,7,17310,35538.49,62299
0,8,8262,20186.59,23601
0,9,11273,26596.14,32292
0,10,1893,7693.4,5569
0,11,6269,15041.28,16141
0,12,19056,53419.69,47691
0,13,31,104.46,176
0,14,1107,5468.34,3648
0,15,8310,19997.84,24749
0,16,5480,15259.99,18508
0,17,11221,25257.98,33699
0,19,2181,7086.94,6440
0,20,3,9.99,5
0,21,2055,6379.44,6153
0,22,146,393.41,690
0,23,2696,9480.11,8924
0,24,199,659.9,933
0,25,213,192.77,247
0,26,242,665.61,487
0,27,2,61.92,15
0,30,30,100.89,78
0,31,0,0.0,53
0,32,136,235.04,6590
1,0,40560,72378.45,157331
1,1,419757,462969.67,605263
1,2,8458,15893.0,10376
1,3,3305,8836.95,4638
1,4,85786,77000.83,85110
1,5,18,1004.53,137
1,7,30277,41337.85,41542
1,8,13525,18185.62,12788
1,9,20015,25926.5,20439
1,10,611,1111.22,704
1,11,4664,11090.02,7642
1,12,22245,57238.27,29434
1,13,221,853.63,744
1,14,105,918.29,156
1,15,14359,22592.14,18121
1,16,4789,11479.39,7300
1,17,13178,22839.95,17091
1,18,0,0.0,51
1,19,2016,5274.73,2669
1,20,8990,20137.27,5933
1,21,918,2589.43,1325
1,22,219,291.67,243
1,23,3376,7227.58,5004
1,24,45,282.78,199
1,25,1432,592.55,672
1,26,53,108.94,66
1,27,24,75.93,25
1,28,1034,1566.42,647
1,29,10,91.97,28
1,30,2,20.0,2
1,31,0,2.2,30
1,32,4153,1022.7,63711
1,34,8,0.0,25
1,36,104,61.89,31
2,0,22,41.95,59
2,1,20920,18589.13,59825
2,2,2709,5313.55,12572
2,3,685,2772.83,2449
2,4,14373,14432.45,58783
2,5,101,177.1,87
2,6,3313,4907.77,3263
2,7,6411,9267.65,30573
2,8,2925,4248.78,12698
2,9,6950,8034.99,24699
2,10,466,2292.92,3154
2,11,954,3161.89,5138
2,14,0,3968.57,0
2,15,3865,6050.87,17396
2,16,1874,3052.54,7120
2,17,3867,6211.3,14750
2,19,417,1505.65,2403
2,21,232,561.37,713
2,22,12,35.94,15
2,23,1106,3986.69,5020
2,24,50,112.82,133
2,25,152,120.82,380
2,26,116,198.2,349
2,33,0,10.99,0
2,34,22,15.99,10
3,0,44,67.98,127
3,1,18521,21588.36,44607
3,2,1951,4299.06,7363
3,3,473,2135.85,2018
3,4,11045,14081.66,30287
3,5,134,390.41,234
3,6,2626,2548.95,5460
3,7,2938,6203.45,10745
3,8,3184,4766.95,10389
3,9,2415,5197.11,8074
3,10,508,2119.89,2366
3,11,942,3312.16,2869
3,12,113,350.93,187
3,13,0,18.0,0
3,14,7,1270.17,46
3,15,2304,6138.39,8952
3,16,852,1890.31,2097
3,17,2320,4944.06,7637
3,19,383,1336.57,1467
3,21,211,447.29,632
3,22,15,10.49,50
3,23,728,2537.2,2741
3,24,44,172.69,271
3,25,170,60.4,222
3,26,77,143.31,380
3,30,10,17.97,25
3,32,63,180.69,1370
3,34,13,20.5,7
4,1,1173,3461.25,2341
4,2,7,0.0,16
4,3,34,345.89,85
4,4,1358,3026.74,2623
4,5,1,4.99,12
4,7,505,1861.12,1208
4,8,395,1804.62,881
4,9,539,1057.92,772
4,11,116,409.63,229
4,15,738,2293.89,1115
4,16,187,797.25,398
4,17,467,1339.05,714
4,19,4,99.75,43
4,21,13,189.43,64
4,23,22,20.95,7
4,25,16,17.95,1
4,26,22,328.55,99
4,32,28,4.65,1556
5,1,217,1024.04,524
5,2,362,2492.05,1328
5,3,0,78.9,5
5,4,348,1312.9,944
5,5,12809,71112.82,59609
5,7,234,886.85,612
5,8,39,76.9,105
5,9,79,730.9,304
5,11,28,485.45,109
5,12,95,513.3,369
5,14,0,50.45,0
5,15,420,2717.15,1549
5,16,128,776.7,432
5,17,53,438.44,204
5,19,34,240.7,134
5,21,11,152.35,72
5,22,1,37.95,5
5,23,12,147.4,51
5,24,7,128.85,48
5,25,3,37.95,23
5,26,17,345.55,56
5,32,0,35.95,20
6,0,24,45.5,39
6,1,28272,19516.89,68806
6,2,728,1896.11,1551
6,3,399,1064.29,1888
6,4,6908,5538.95,13273
6,5,1,2.75,9
6,7,3414,3535.11,8165
6,8,713,1318.5,1950
6,9,3050,2467.04,3974
6,10,203,607.36,470
6,11,601,1229.44,1785
6,12,28,42.99,32
6,13,640,927.12,1935
6,14,38,43.98,3
6,15,900,2100.45,1275
6,16,1745,1174.69,3994
6,17,1158,1558.09,2373
6,19,520,544.42,1411
6,21,111,387.63,316
6,23,249,749.44,961
6,25,144,127.2,181
6,26,1,0.0,10
7,1,301,243.6,746
7,2,108,188.62,549
7,3,54,129.75,203
7,4,615,434.21,2101
7,5,53,278.66,91
7,6,6454,8430.85,7237
7,7,343,412.23,1153
7,8,184,174.68,962
7,9,244,181.65,596
7,10,62,106.79,269
7,11,43,80.85,189
7,14,0,75.39,0
7,15,200,221.64,667
7,16,205,212.6,614
7,17,617,412.8,2250
7,19,17,35.93,80
7,21,73,119.31,186
7,23,196,245.04,491
7,24,5,7.98,32
7,25,7,4.99,3
7,26,0,14.97,8
8,0,0,0.0,0
8,1,9310,6938.59,30295
8,2,1293,2320.53,7523
8,3,285,1065.52,1772
8,4,12439,5726.94,41460
8,6,36,113.88,71
8,7,2099,3254.46,12142
8,8,1424,1960.2,7417
8,9,2287,2607.96,8689
8,10,335,946.74,1798
8,11,779,1479.94,3041
8,12,17,7.98,73
8,14,0,140.69,0
8,15,1535,2354.48,7969
8,16,341,875.22,1419
8,17,1529,1900.66,5645
8,19,200,644.76,697
8,21,67,208.91,142
8,22,8,2.99,49
8,23,435,1471.2,2501
8,24,7,7.98,40
8,25,37,11.97,31
8,26,93,171.69,442
9,0,1543,348672.29,4662
9,1,2597,227811.78,11556
9,2,8,377.85,611
9,3,9,189.42,8
9,4,20,1339.24,191
9,5,0,123.85,0
9,7,17,451.4,69
9,8,5,185.42,7
9,9,11,522.19,22
9,10,3,113.44,20
9,11,4,110.42,5
9,12,11,127.87,38
9,13,2900,62413.84,13022
9,14,1,3296.25,22
9,15,6,330.4,8
9,16,0,114.97,8
9,17,14,609.19,17
9,18,3,1153.8,61
9,19,0,77.43,3
9,20,4,196.87,7
9,21,0,110.96,0
9,23,1,209.41,7
9,24,0,50.44,2
9,25,0,4.99,0
9,26,0,0.0,0
9,27,0,25.98,2
9,28,0,30.16,0
9,30,0,10.99,2
9,31,0,708.91,3
9,32,11,907.69,229
10,0,5,8.25,45
10,1,12570,14681.24,23942
10,2,2378,6648.98,8883
10,3,807,3485.5,3037
10,4,12384,11772.26,26172
10,5,12,82.68,12
10,6,834,1358.89,1341
10,7,2704,5873.7,10411
10,8,2474,4686.6,7768
10,9,3353,4458.86,9118
10,10,361,1055.53,824
10,11,745,3104.99,2388
10,12,1717,5082.65,3292
10,14,0,110.87,0
10,15,2893,5473.76,7608
10,16,1200,1956.45,2520
10,17,2249,4129.26,5813
10,19,383,1331.68,1453
10,21,317,640.01,570
10,22,5,4.99,10
10,23,1665,3153.23,4085
10,24,45,171.23,167
10,25,33,58.92,54
10,26,62,190.3,266
10,30,7,0.0,18
10,32,62,54.78,2373
11,0,1637,667.1,4576
11,1,5205,2363.39,6274
11,2,177,101.84,167
11,3,34,22.97,60
11,4,1330,781.69,1618
11,7,472,257.54,699
11,8,125,94.89,74
11,9,566,422.28,704
11,10,4,13.98,6
11,11,4,13.98,9
11,12,354,352.1,683
11,14,10,72.41,36
11,15,194,201.25,374
11,16,7,15.98,8
11,17,49,86.79,148
11,19,1,3.5,5
11,23,3,14.98,14
12,0,266,255.73,582
12,1,8183,9055.62,13952
12,2,366,1133.37,904
12,3,62,225.81,140
12,4,835,1249.8,1517
12,7,1030,2045.26,2052
12,8,159,411.59,208
12,9,1024,1692.76,1530
12,10,41,95.93,55
12,11,146,507.6,270
12,12,1761,4405.85,3259
12,14,93,849.94,163
12,15,416,1698.34,983
12,16,75,278.73,238
12,17,543,1035.07,748
12,19,4,45.97,24
12,21,28,171.87,88
12,22,0,6.99,2
12,23,177,474.61,302
12,24,54,22.97,13
13,0,42,33.97,95
13,1,3043,3112.03,5772
13,2,180,336.67,499
13,3,158,332.71,216
13,4,311,524.52,580
13,7,458,828.26,1314
13,8,116,467.59,250
13,9,396,786.37,820
13,10,25,73.92,49
13,11,261,376.69,299
13,12,130,270.77,206
13,14,52,400.52,244
13,15,217,702.39,654
13,16,89,329.68,110
13,17,396,1114.89,837
13,19,13,65.94,35
13,21,41,83.93,55
13,22,31,12.98,6
13,23,169,482.67,415
13,24,1,6.99,9
13,30,46,6.99,13
14,0,417,535.55,1379
14,1,14952,23832.3,43103
14,2,2145,6172.23,8332
14,3,415,2423.15,1411
14,4,5369,9281.53,16411
14,5,91,163.88,270
14,7,5077,10995.66,19519
14,8,1924,5284.18,6168
14,9,2689,8080.38,10354
14,10,449,2037.42,1194
14,11,1100,3744.21,3241
14,12,2354,7171.0,7794
14,13,0,7.99,0
14,14,304,1357.23,1142
14,15,3169,8348.95,10215
14,16,1733,4089.56,5340
14,17,3172,8727.36,11351
14,19,341,1631.82,1252
14,21,575,2004.24,1818
14,22,35,85.89,114
14,23,1275,4405.82,4687
14,24,27,106.9,142
14,25,19,20.97,29
14,26,0,6.99,7
14,30,1,10.99,18
15,1,441,1102.82,1097
15,2,35,127.85,127
15,3,23,35.93,39
15,4,53,97.87,134
15,5,0,0.0,0
15,7,12,29.93,51
15,8,74,79.85,112
15,9,36,49.83,101
15,10,17,32.85,51
15,11,7,9.99,12
15,15,42,65.86,78
15,16,32,77.89,82
15,17,5,19.94,15
15,19,4,9.99,9
15,21,5,14.98,5
16,1,3942,2002.71,3605
16,2,785,214.96,288
16,3,146,593.62,153
16,4,2315,736.7,1592
16,7,1102,617.27,1157
16,8,1146,676.23,659
16,9,1015,470.31,1689
16,10,3,12.99,5
16,11,14,34.94,44
16,12,66,25.45,37
16,14,0,95.88,0
16,15,285,190.8,347
16,16,10,20.0,24
16,17,344,293.59,326
16,19,52,125.88,100
16,21,13,6.99,27
16,23,256,119.84,120
16,25,30,9.99,19
16,26,21,32.95,79
17,1,221,385.53,341
17,2,4,182.82,21
17,4,76,304.59,125
17,7,18,91.8,25
17,8,0,16.99,2
17,9,7,80.33,14
17,10,1,9.99,4
17,11,0,8.99,0
17,12,3,32.97,9
17,14,0,5.95,0
17,15,30,62.93,48
17,16,0,5.99,0
17,17,29,222.47,68
17,19,1,2.99,16
18,0,760,1715.73,340
18,1,1928,16662.44,5444
18,2,1,19.98,12
18,4,5,15.98,22
18,5,0,126.12,2
18,7,3,49.94,62
18,8,4,15.98,12
18,9,4,15.98,10
18,10,2,19.97,11
18,11,3664,27188.65,23251
18,12,1,12.99,1
18,14,0,71.6,4
18,15,2,15.98,17
18,16,3,56.93,51
18,17,0,12.99,6
18,19,0,5.99,0
19,1,1235,13175.1,25310
19,2,0,17.0,9
19,4,474,6310.47,5688
19,5,29,313.06,535
19,6,3,4.5,4
19,7,464,7195.45,5980
19,8,9,32.31,22
19,9,128,707.27,747
19,10,0,27.2,5
19,11,1,26.37,63
19,14,0,10.96,0
19,15,43,400.01,455
19,16,4,74.36,81
19,17,0,14.36,3
19,19,3,9.35,11
19,23,0,13.61,10
19,25,31,87.18,103
20,0,11,20.97,18
20,1,4383,5852.84,9172
20,2,344,611.26,532
20,3,104,592.33,274
20,4,1110,2128.47,2320
20,7,564,1163.64,1395
20,8,274,676.21,627
20,9,493,1302.02,1192
20,10,34,171.8,122
20,11,190,698.16,465
20,12,155,296.71,229
20,14,0,41.95,1
20,15,405,1171.22,907
20,16,150,551.36,476
20,17,677,1181.49,1633
20,19,98,322.57,214
20,21,46,222.71,145
20,22,16,15.97,16
20,23,98,595.29,377
20,24,4,18.97,11
20,25,3,10.99,9
20,26,3,10.99,10
20,32,0,13.97,85
21,0,129,125.76,869
21,1,6283,25740.06,32400
21,2,1053,8059.3,6775
21,3,246,2503.91,881
21,4,2166,9011.19,7921
21,5,8465,38273.39,48176
21,7,2991,11176.91,18158
21,8,1306,5681.44,4563
21,9,1232,7300.09,5745
21,10,352,2550.52,1645
21,11,711,4752.09,3019
21,12,1693,12397.67,7398
21,15,1715,9614.79,8535
21,16,785,4103.13,3819
21,17,2578,14374.13,12576
21,19,666,3309.15,2459
21,21,547,3452.48,2107
21,22,0,18.99,4
21,23,561,3278.42,2572
21,24,68,226.83,569
21,25,5,0.0,19
21,26,11,317.81,69
21,32,0,0.0,176
22,1,697,676.16,1213
22,3,5,15.98,24
22,4,6,62.5,8
22,7,21,69.97,45
22,8,6,15.98,24
22,9,15,7.99,26
22,10,8,15.98,25
22,11,3,7.99,13
22,12,42,87.94,103
22,16,10,39.95,28
22,17,3,15.98,21
22,19,0,7.99,10
22,21,1,7.99,12
22,23,16,7.99,31
23,0,40,37.49,29
23,1,6833,7620.74,16313
23,2,11,54.96,28
23,4,617,577.07,1186
23,7,7,40.97,18
23,9,525,818.87,1244
23,10,1,25.98,3
23,11,50,171.85,163
23,12,0,7.99,2
23,14,1,32.98,4
23,16,3,17.98,11
23,17,17,29.98,22
23,21,17,15.98,18
24,1,1789,1039.89,1337
24,2,7,0.0,10
24,3,12,0.0,30
24,4,449,82.93,273
24,7,582,328.59,628
24,8,70,35.78,27
24,9,148,72.54,159
24,10,4,0.0,12
24,11,34,5.9,17
24,12,151,47.95,214
24,15,95,29.79,27
24,16,66,86.48,40
24,17,3,0.0,8
24,19,0,0.0,1
25,1,0,0.0,0
26,1,1938,4527.04,9063
26,2,1,6.99,3
26,3,0,10.99,3
26,4,294,653.61,1192
26,7,0,6.99,2
26,9,22,43.46,47
26,11,18,43.97,60
26,17,1,5.99,1
26,21,2,6.99,2
27,1,795,5086.39,1351
27,5,0,46.95,7
27,7,179,821.83,456
28,0,5,65.99,3
28,1,9830,40823.41,23581
28,2,497,6218.03,1992
28,3,39,1188.4,96
28,4,4594,23675.58,12431
28,5,3648,25802.04,15731
28,7,2969,19257.26,8718
28,8,963,5745.86,1692
28,9,2232,13903.3,5155
28,10,263,2732.65,905
28,11,230,4031.13,693
28,12,5,94.95,33
28,14,1,50.45,3
28,15,1292,8473.64,3193
28,16,499,4846.83,1316
28,17,1143,12459.05,4095
28,19,246,3545.9,766
28,21,489,4381.6,1497
28,22,1,37.95,1
28,23,204,4460.93,653
28,26,30,378.39,34
29,0,5,19.9,20
29,1,259,1245.61,2315
29,2,156,1325.46,1885
29,3,22,316.63,176
29,4,133,444.74,684
29,5,6,73.73,85
29,7,106,1106.78,1669
29,9,141,759.04,1179
29,11,101,469.8,762
29,12,49,416.85,373
29,15,144,1094.03,1152
29,16,270,801.03,1253
29,17,166,1784.52,2115
29,19,18,345.42,301
29,22,9,20.5,119
29,23,26,280.06,237
29,24,5,17.24,35
30,1,10,46.95,39
30,2,0,17.01,6
30,7,0,40.84,3
30,15,1,18.99,5
30,17,1,10.99,19
31,1,36,1150.47,80
31,2,0,17.48,0
31,3,0,3.0,0
31,4,0,15.99,0
31,5,0,18.99,0
31,7,0,7.5,0
31,8,4,4.0,7
31,9,0,3.0,0
31,10,0,14.48,0
31,11,0,3.0,0
31,13,0,63.4,1
31,14,2,672.47,12
31,15,0,3.0,0
31,18,0,0.0,1
31,19,0,3.0,0
31,31,0,0.0,0
31,32,0,70.0,3
31,35,4,0.0,79
32,1,1196,4600.39,2392
32,2,495,1298.31,963
32,4,281,680.84,535
32,8,3,7.0,6
32,9,164,756.72,476
32,14,0,141.5,0
32,15,529,727.05,911
32,26,306,701.79,645
32,32,0,0.0,6
33,0,847,0.0,667
33,1,1264,0.0,4463
33,4,79,0.0,104
33,8,0,12.99,2
33,12,0,7.99,1
33,13,0,0.0,1
33,32,3827,0.0,36749
34,0,0,5.99,0
34,1,682,3111.83,4179
34,2,933,3897.14,5489
34,3,29,527.0,429
34,4,238,1464.94,2243
34,5,25,88.04,177
34,7,1009,5213.84,11022
34,8,224,1154.36,1483
34,9,136,1484.41,1784
34,10,76,1092.18,939
34,11,391,2309.75,2980
34,12,4,73.24,58
34,14,0,650.37,0
34,15,454,2155.76,3019
34,16,188,988.34,987
34,17,457,2954.99,4094
34,19,126,910.97,983
34,21,292,1596.9,1540
34,22,3,6.99,16
34,23,155,970.64,812
34,24,31,66.61,167
34,26,6,30.18,31
34,30,1,27.0,47
35,1,419,668.55,357
35,4,89,727.08,290
35,9,289,341.05,106
35,26,19,16.4,15
35,32,0,0.0,4
36,0,10,15.99,73
36,2,31,34.98,89
36,15,19,26.94,150
36,16,3,14.99,23
36,24,3,16.99,72
37,0,61,0.0,50
37,1,611,227.99,716
37,4,129,25.55,44
37,7,253,32.75,200
37,9,120,25.28,54
37,13,0,0.0,0
37,26,1,5.54,4
37,32,39,0.0,220
38,9,5,0.0,5
38,14,0,0.0,1
38,15,0,23.99,2
38,32,8,0.0,223
39,1,0,0.0,0
39,4,11,7.5,107
40,1,16,4.95,96
40,2,28,0.0,28
40,3,13,0.0,152
40,4,149,0.0,189
40,5,0,0.0,0
40,7,95,12.99,217
40,8,69,5.99,91
40,9,15,9.94,48
40,10,2,0.0,31
40,11,0,0.0,1
40,15,367,0.0,417
40,16,3,0.0,23
40,17,4,0.0,12
40,19,6,0.0,49
40,23,7,0.0,33
40,26,310,0.0,318
40,31,4,0.0,18
40,32,0,0.0,54
41,1,34,150.82,362
41,2,0,0.0,0
41,4,0,0.0,2
41,5,27,122.85,238
41,8,0,6.99,12
41,9,2,20.0,5
41,13,0,0.0,1
41,25,28,0.0,3
41,32,9,25.37,255
42,1,22,2240.0,102
42,31,0,48.0,0
42,32,3,0.0,55
43,0,213,0.0,47
43,1,583,389.2,2732
43,4,115,60.91,551
43,7,0,0.0,0
43,8,13,0.0,69
43,9,147,54.46,276
43,10,0,0.0,7
43,11,15,0.0,48
43,13,0,12.5,0
43,14,28,19.99,19
43,17,131,13.99,306
43,19,13,11.06,13
43,26,11,0.0,15
43,32,24,12.99,1342
44,1,1162,3489.45,18392
44,2,4,9.35,3
44,3,17,0.0,124
44,4,173,665.36,761
44,5,240,1013.86,3595
44,7,317,896.63,2010
44,9,673,345.48,2794
44,10,2,20.4,7
44,11,7,12.75,241
44,13,0,60.99,0
44,15,49,292.29,595
44,25,127,57.49,134
44,32,121,119.45,1640
45,1,76,90.79,196
45,2,28,25.84,134
45,4,108,45.39,145
45,7,31,13.6,10
45,8,48,25.84,73
45,9,4,13.6,6
45,10,15,0.0,62
45,15,16,6.8,18
45,17,2,12.99,27
45,23,11,36.19,46
45,24,2,5.09,2
45,25,15,0.0,54
46,1,43,155.26,409
46,2,0,5.35,40
46,4,18,31.46,108
46,7,6,46.47,42
46,9,8,25.52,30
46,15,4,0.0,1
47,2,0,10.0,0
47,14,0,0.0,0
47,20,9,0.0,1
47,32,0,0.0,0
48,1,0,4.99,3
48,2,0,13.24,0
48,9,6,3.0,3
48,14,0,9.95,1
49,1,55,100.68,509
49,2,0,7.5,3
49,7,1,12.0,3
49,9,0,10.0,1
49,13,4,0.0,162
49,15,0,7.99,0
50,1,1997,1759.23,3159
50,2,311,815.06,719
50,3,3,20.99,20
50,4,1312,979.58,2138
50,7,248,271.86,1017
50,8,151,227.28,153
50,9,242,494.73,604
50,11,47,10.0,37
50,12,42,67.54,65
50,15,73,139.94,185
50,16,1,0.0,6
50,17,156,308.44,470
50,19,82,222.88,261
50,21,10,37.98,40
50,23,36,20.0,32
50,25,11,14.39,9
50,26,0,0.0,2
50,28,0,61.1,2
51,1,5517,4213.5,5626
51,4,69,13.52,5
51,32,67,0.0,1248
52,1,840,618.1,1619
52,9,0,9.95,0
52,32,0,0.0,15
53,1,76,468.2,1066
53,5,0,24.1,34
53,7,0,14.36,10
53,9,5,0.0,70
54,1,271,2504.29,3761
54,4,41,432.33,393
54,5,62,343.41,662
54,7,27,465.86,342
54,9,10,24.82,53
54,10,0,26.44,3
54,15,13,67.02,58
54,23,0,4.25,3
55,1,4040,5743.88,9705
55,14,0,253.0,0
55,32,44,0.0,2015
56,1,71,351.16,1238
56,4,25,60.49,208
56,5,10,54.59,116
56,7,17,90.74,133
56,9,3,31.73,68
56,13,0,24.0,0
57,1,262,1516.48,405
57,2,119,405.43,188
57,4,51,281.6,75
57,9,44,45.02,91
57,14,0,239.07,6
57,15,115,269.95,215
57,26,16,126.1,50
57,32,1,0.0,2
58,1,98,14.6,64
58,26,0,15.0,3
59,1,59,20.47,778
59,9,0,0.0,9
59,32,13,0.0,222
60,1,0,221.24,11
60,12,21,2188.27,606
61,1,102,140.6,146
61,2,43,26.75,61
61,4,428,286.25,306
61,8,9,0.0,21
61,9,42,351.45,100
61,15,706,566.3,458
61,26,41,24.75,21
61,32,5,0.0,8
62,1,153,863.61,2733
62,4,26,239.62,569
62,5,18,111.54,264
62,7,24,273.49,218
62,9,8,58.71,130
62,15,4,40.4,50
63,1,88,448.18,3445
63,2,0,6.8,2
63,9,8,0.0,140
64,1,48,853.94,1955
64,7,0,13.0,5
64,9,0,31.98,50
64,14,0,12.24,0
65,1,4,291.56,243
65,13,0,51.96,0
65,14,0,54.0,0
66,1,13,97.03,253
66,4,1,72.23,99
66,5,5,40.2,42
66,7,4,52.28,43
66,9,0,14.65,8
66,15,0,7.55,17
67,32,0,0.0,5
68,1,22,158.32,733
68,4,4,51.74,63
68,5,9,75.23,272
68,7,2,51.86,53
69,1,50,208.1,311
69,4,3,41.24,20
69,5,8,49.1,95
69,7,6,136.61,244
69,9,0,7.77,0
70,1,59,327.07,933
70,4,43,118.83,181
70,5,32,111.9,484
70,6,1,5.99,7
70,7,32,148.94,254
70,9,50,22.33,162
70,13,0,11.05,12
70,15,6,27.22,48
71,1,55,827.97,1551
71,4,3,178.06,178
71,5,9,266.15,377
71,7,19,317.76,387
71,9,1,33.04,31
71,15,0,16.05,2
71,16,1,13.18,5
71,25,0,13.86,24
72,1,390,4315.1,6587
72,2,121,1527.43,2004
72,4,124,2861.27,3876
72,7,102,3025.25,3714
72,8,63,651.54,730
72,9,129,3041.87,3209
72,15,69,1331.76,1906
72,16,4,12.25,31
73,1,3,0.0,56
73,5,1,0.0,33
73,11,394,0.0,6489
74,0,0,0.0,0
74,1,737,13060.56,16806
74,2,236,5399.64,3754
74,4,329,6148.73,5285
74,7,120,7064.46,4040
74,8,1,47.14,25
74,9,297,10420.0,7001
74,12,43,1818.36,957
74,14,0,10.89,0
74,15,40,1756.72,997
75,1,110,10566.0,5262
75,2,236,1621.13,1009
75,4,102,9725.59,3231
75,7,46,4281.26,948
75,8,13,1299.03,331
75,9,24,5051.38,1219
75,12,11,2447.16,410
75,14,2,202.75,17
75,15,17,1566.94,325
75,23,22,122.22,22
75,25,0,28.5,7
76,1,1,14.5,27
77,1,4,305.9,652
77,2,1,15.95,3
77,7,0,10.89,2
77,9,1,249.78,46
77,12,0,10.89,4
77,15,0,15.95,0
78,2,0,0.0,0
78,3,90,0.0,547
78,9,0,0.0,18
78,11,0,0.0,0
78,17,0,0.0,0
79,13,0,188.0,0
80,1,0,16.5,35
81,1,16,40.0,5
82,1,0,8.0,4
82,26,0,4.0,0
83,4,814,0.0,1720
83,5,0,0.0,0
83,7,492,0.0,862
83,15,388,0.0,1098
83,19,64,0.0,179
83,23,280,0.0,581
84,1,6,605.82,128
84,4,0,332.63,60
84,7,2,495.81,64
84,9,0,152.21,9
84,12,0,17.01,2
84,15,0,28.5,0
85,1,0,0.0,0
86,1,0,0.0,2
86,10,10,0.0,66
86,17,4,0.0,40
86,20,2,0.0,3
